Unnamed: 0,No,Publication,Authors,Year,Type of paper,Journal,Type of study,Pre-prints,DOI,Used?,Partially?,Method,Hybridisation,"1. Objectives (purpose, model outputs, aims of experimentation)","2. Logic (base model overview diagram, base model logic, scenario logic, algorithms, components)","3. Data (data sources, input parameters, preprocessing, assumptions","4. Experimentation (initialisation, run length, estimation approach)","5. Implementation (software and programming language, random sampling, model execution, system specification)",6. Code access (computer model sharing statement),Source code access,Software,Application area,Case study,Note,Appendix,Questions to be asked from authors / experts,...27,Fatemeh's Note
1,1,How simulation modelling can help reduce the impact of COVID-19,"Currie, Christine SM, John W. Fowler, Kathy Kotiadis, Thomas Monks, Bhakti Stephan Onggo, Duncan A",2020.0,Journal,Journal of Simulation,Discussion,No,https://www.tandfonline.com/doi/pdf/10.1080/17477778.2020.1751570,No,,,,,,,,,,,,,,,,,,Providing one good practices in using STRESS for each simulation method
2,2,"The ODD protocol for describing agent-based and other simulation models: A second update to improve clarity, replication, and structural realism","Grimm, V., Railsback, S.F., Vincenot, C.E., Berger, U., Gallagher, C., Deangelis, D.L., Edmonds, B., Ge, J., Giske, J., Groeneveld, J., Johnston, A.S.A., Milles, A., Nabe-Nielsen, J., Polhill, J.G., Radchuk, V., Rohwäder, M.S., Stillman, R.A., Thiele, J.C. and Ayllón, D.",2020.0,Journal,Journal of Artificial Societies and Social Simulation,Guideline,No,http://eprints.bournemouth.ac.uk/33918/1/7.pdf,No,,,,,,,,,,,,,,,,,,"Disparate use of the guideline's elements in text, can't see what is the reason for not following the sequence! It might be due to the journal structure? (anyway, is it important to follow the sequence of the elements?)"
3,3,Operational Research: methods and applications,"Fotios Petropoulos, Gilbert Laporte, Emel Aktas, Sibel A. Alumur, Claudia Archetti, Hayriye Ayhan,Maria Battarra,Julia A. Bennell,Jean-Marie Bourjolly,John E. Boylan,Michèle Breton,David Canca,Laurent Charlin,Bo Chen,Cihan Tugrul Cicek,Louis Anthony Cox Jr,Christine S.M. Currie,Erik Demeulemeester,Li Ding,Stephen M. Disney,Matthias Ehrgott,Martin J. Eppler,Güne? Erdo?an,Bernard Fortz,L. Alberto Franco,Jens Frische,Salvatore Greco,Amanda J. Gregory,Raimo P. Hämäläinen,Willy Herroelen,Mike Hewitt,Jan Holmström,John N. Hooker,Tu?çe I??k,Jill Johnes,Bahar Y. Kara,Özlem Karsu,Katherine Kent,Charlotte Köhler,Martin Kunc, Yong-Hong Kuo,Adam N. Letchford,Janny Leung,Dong Li,Haitao Li,Judit Lienert,Ivana Ljubi?,Andrea Lodi,Sebastián Lozano,Virginie Lurkin,Silvano Martello,Ian G. McHale,Gerald Midgley,John D.W. Morecroft,Akshay Mutha,Ceyda O?uz,Sanja Petrovic,Ulrich Pferschy,Harilaos N. Psaraftis,Sam Rose,Lauri Saarinen,Said Salhi,Jing-Sheng Song,Dimitrios Sotiros,Kathryn E. Stecke,Arne K. Strauss,?stenç Tarhan,Clemens Thielen,Paolo Toth,Tom Van Woensel,Greet Vanden Berghe,Christos Vasilakis,Vikrant Vaze,Daniele Vigo,Kai Virtanen,Xun Wang,Rafa? Weron,Leroy White,Mike Yearworth,E. Alper Y?ld?r?m,Georges Zaccour & Xuying Zhao",2024.0,Journal,Journal of the Operational Research Society,Tutorial,No,https://www.tandfonline.com/doi/pdf/10.1080/01605682.2023.2253852,No,,,,,,,,,,,,,,,,,,Study No 43 contains useful information for extending the guideline to incoroprate hybrid simulation ABM+SD (a conceptual framework for hybrid ABM-SD models)
4,4,Extensions of fuzzy cognitive maps: a systematic review,"Schuerkamp, Ryan, and Philippe J. Giabbanelli",2023.0,Journal,ACM Computing Surveys,LR,No,https://dl.acm.org/doi/pdf/10.1145/3610771,No,,,,,,,,,,,,,,,,,,
5,5,Estimation of Viral Aerosol Emissions From Simulated Individuals With Asymptomatic to Moderate Coronavirus Disease 2019,"Riediker, Michael, and Dai-Hua Tsai",2020.0,Journal,JAMA,Empirical,No,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2768712/riediker_2020_oi_200522.pdf,Yes,,MonteCarlo,,Purpose,No,"Data sources, input parameters",No,No,No,,,Healthcare,COVID-19 transmission,,,,,
6,6,Hybrid models as transdisciplinary research enablers,"Tolk, Andreas, Alison Harper, and Navonil Mustafee",2021.0,Journal,European Journal of Operational Research,Discussion,No,https://www.sciencedirect.com/science/article/pii/S0377221720308869,No,,,,,,,,,,,,,,,,,,
7,7,Facets of trust in simulation studies,"Harper, Alison, Navonil Mustafee, and Mike Yearworth",2021.0,Journal,European Journal of Operational Research,Discussion,No,https://www.sciencedirect.com/science/article/pii/S0377221720306019,No,,,,,,,,,,,,,,,,,,
8,8,Developing sustainable tourism destinations through smart technologies: A system dynamics approach,"Shafiee, Sanaz, Saeed Jahanyan, Ali Rajabzadeh Ghatari, and Alireza Hasanzadeh",2023.0,Journal,Journal of Simulation,Empirical,No,https://www.tandfonline.com/doi/pdf/10.1080/17477778.2022.2030656,Yes,Yes,SD,,,Yes,"Date sources, and input parameters",Initialisation,Software,No,,Vensim,Tourism,Evaluating different policies for sustainable tourism,"Variables, initial value, equations, sources and links",,,,
9,9,FACS: A geospatial agent-based simulator for analysing COVID-19 spread and public health measures on local regions,"Imran Mahmood, Hamid Arabnejad, Diana Suleimenova, Isabel Sassoon, Alaa Marshan, Alan Serrano-Rico, Panos Louvieris, Anastasia Anagnostou, Simon J E Taylor, David Bell
 & Derek Groen",2022.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2020.1800422,No,,,,,,,,,,,,,,,,,,
10,10,Beyond ratios - flexible and resilient nurse staffing options to deliver cost-effective hospital care and address staff shortages: A simulation and economic modelling study,"Griffiths, Peter, Christina Saville, Jane E. Ball, Jeremy Jones, Thomas Monks, and Safer Nursing Care Tool study team",2021.0,Journal,International Journal of Nursing Studies,Empirical,No,https://doi.org/10.1016/j.ijnurstu.2021.103901,Yes,,ABS,,Yes,Yes,Yes,Yes,Yes,Yes,Upon request,AnyLogic,Healthcare,Nurse staffing,,Yes - STRESS description,,,
11,11,Keeping modelling notebooks with TRACE: Good for you and good for environmental research and management support,"Daniel Ayllon, Steven F. Railsback, Cara Gallagher, Jacqueline Augusiak, Hans Baveco, Uta Berger, Sandrine Charles, Romina Martin, Andreas Focks, Nika Galic, Chun Liu, E. Emiel van Loon, Jacob Nabe-Nielsen, Cyril Piou, J. Gareth Polhill, Thomas G. Preuss, Viktoriia Radchuk, Amelie Schmolke, Julita Stadnicka-Michalak, Pernille Thorbek, Volker Grimm",2021.0,Journal,Environmental Modelling & Software,Guideline,No,https://doi.org/10.1016/j.envsoft.2020.104932,No,,,,,,,,,,,,,,,,,,
12,12,Designing optimal COVID-19 testing stations locally: A discrete event simulation model applied on a university campus,"Saidani, Michael, Harrison Kim, and Jinju Kim",2021.0,Journal,PloS one,Empirical,No,https://doi.org/10.1371/journal.pone.0253869,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,AnyLogic,Healthcare,COVID-19 testing stations on a university campus,,Yes - checklist,,,
13,13,A predictive model for the post-pandemic delay in elective treatment,"Nehme, Romy, Alena Puchkova, and Ajith Parlikad",2022.0,Journal,Operations Research for Health Care,Empirical,No,https://doi.org/10.1016/j.orhc.2022.100357,Yes,Yes,DES,,Yes,Yes,Yes,Yes,Yes,No,,Arena,Healthcare,Prioritising patients for elective treatments - quiantification of the expected backlog and predict the delays - Endoscopy waiting list at Cambridge University Hospitals,,,,,
14,14,Simulating emergency patient flow during the COVID-19 pandemic,"Bovim, Thomas Reiten, Anders N. Gullhav, Henrik Andersson, Jostien Dale, and Kjetil Karlsen",2023.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2021.2015259,Yes,Yes,DES,,Purpose,"Model logic, and components","Assumptions, input parameters","Initialisation, run length","Software, system specification",No,,Python (Simpy),Healthcare,Resource (ambulance) requirements during the pandemic,,,,,
15,15,RAT-RS: a reporting standard for improving the documentation of data use in agent-based modelling,"Achter, Sebastian, Melania Borit, Edmund Chattoe-Brown, and Peer-Olaf Siebers",2022.0,Journal,International journal of social research methodology,Guideline,No,https://doi.org/10.1080/13645579.2022.2049511,No,,,,,,,,,,,,,,They argue about the validation process to be included in the guideline,,,,
16,16,Generative AI and simulation modeling: how should you (not) use large language models like ChatGPT,"Akhavan, Ali, and Mohammad S. Jalali",2023.0,Journal,System Dynamics Review,Discussion,No,https://doi.org/10.1002/sdr.1773,No,,,,,,,,,,,,,,,,,,
